tweet
"RT @5SOSReport: ""4 years ago I was working at KFC.""   #5SecondsofSummer #TheyreTheOne @radiodisney http://t.co/sP4RdBRHlG"
@doss_prado KFC or Popeyes? Vote and get a $50 gift card of your favorite 🍗 http://t.co/fwm6sFP0RU Pls RT 💋
@misterbeverage @kfc marketing depts ruin everything.
"KFC ""@Ajepako_Pikin: UDP @GideonDayo_mufc: Who won Osun state?"""
"RT @JamieBworth: If #GamerGate doesn't denounce KFC and Pizza Hut (ESPECIALLY the combo restaurants), I'm out. You have one day."
